system:index,CN,X,datetime,map,timestamp,tmean,.geo
0_0000000000000000060e,1.45478E13,47990,2020-12-31 00:00:00,223.7250099182129,1609372800000,12.016667366027832,"{""type"":""Point"",""coordinates"":[-110.08172068799313,39.07222641116677]}"
0_0000000000000000060f,1.45478E13,47991,2020-12-31 00:00:00,324.26001262664795,1609372800000,10.794083595275879,"{""type"":""Point"",""coordinates"":[-109.61183845538521,39.07031345681483]}"
0_00000000000000000610,1.45478E13,47993,2020-12-31 00:00:00,268.3430118560791,1609372800000,12.179166793823242,"{""type"":""Point"",""coordinates"":[-109.14979086332819,39.01484669881102]}"
0_00000000000000000661,1.45478E13,48616,2020-12-31 00:00:00,375.3760185241699,1609372800000,10.895000457763672,"{""type"":""Point"",""coordinates"":[-109.16081822023337,38.704225719427974]}"
0_00000000000000000662,1.45478E13,48618,2020-12-31 00:00:00,246.5840129852295,1609372800000,11.750833511352539,"{""type"":""Point"",""coordinates"":[-109.80077948522181,38.57914793487882]}"
0_00000000000000000663,1.45478E13,48620,2020-12-31 00:00:00,420.93102264404297,1609372800000,8.921667098999023,"{""type"":""Point"",""coordinates"":[-109.28819244182506,39.40063474465199]}"
0_00000000000000000664,1.45478E13,48621,2020-12-31 00:00:00,359.0050163269043,1609372800000,9.310833930969238,"{""type"":""Point"",""coordinates"":[-109.76703746755038,39.05311916315274]}"
0_000000000000000005d7,1.45479E13,47734,2020-12-31 00:00:00,379.6390161514282,1609372800000,8.522500038146973,"{""type"":""Point"",""coordinates"":[-112.6572439472508,37.98356810267532]}"
0_000000000000000005d8,1.45479E13,47736,2020-12-31 00:00:00,497.28402042388916,1609372800000,5.524167060852051,"{""type"":""Point"",""coordinates"":[-112.54117354682963,37.939650416399935]}"
0_000000000000000005d9,1.45479E13,47740,2020-12-31 00:00:00,332.7900142669678,1609372800000,9.565000534057617,"{""type"":""Point"",""coordinates"":[-114.04879115389863,37.775823043696334]}"
0_00000000000000000629,1.45479E13,48159,2020-12-31 00:00:00,427.81402111053467,1609372800000,7.930750370025635,"{""type"":""Point"",""coordinates"":[-112.81952401188889,37.796495436180116]}"
0_00000000000000000665,1.45479E13,48624,2020-12-31 00:00:00,254.4030122756958,1609372800000,12.410000801086426,"{""type"":""Point"",""coordinates"":[-109.48676512993711,38.55488596604703]}"
0_000000000000000005db,1.4548E13,47752,2020-12-31 00:00:00,370.69501876831055,1609372800000,8.209166526794434,"{""type"":""Point"",""coordinates"":[-112.1684551261763,39.92454344562345]}"
0_000000000000000005dc,1.4548E13,47757,2020-12-31 00:00:00,335.32001972198486,1609372800000,9.40000057220459,"{""type"":""Point"",""coordinates"":[-112.33900236416743,39.7880771169838]}"
0_0000000000000000062a,1.4548E13,48161,2020-12-31 00:00:00,503.1230182647705,1609372800000,10.378334045410156,"{""type"":""Point"",""coordinates"":[-113.89518404080953,37.64538987878198]}"
0_0000000000000000062b,1.4548E13,48163,2020-12-31 00:00:00,346.7260112762451,1609372800000,10.075834274291992,"{""type"":""Point"",""coordinates"":[-113.27402680496344,37.65722879207888]}"
0_00000000000000000647,1.4548E13,48437,2020-12-31 00:00:00,409.81602001190186,1609372800000,10.032500267028809,"{""type"":""Point"",""coordinates"":[-113.43689547094057,37.608597835990004]}"
0_00000000000000000648,1.4548E13,48440,2020-12-31 00:00:00,399.12802028656006,1609372800000,9.977500915527344,"{""type"":""Point"",""coordinates"":[-113.88535172298666,37.98698823318331]}"
0_00000000000000000592,1.45481E13,46979,2020-12-31 00:00:00,424.55601692199707,1609372800000,7.9166669845581055,"{""type"":""Point"",""coordinates"":[-111.87088593557668,39.4362272892606]}"
0_00000000000000000593,1.45481E13,46983,2020-12-31 00:00:00,314.0430164337158,1609372800000,9.834083557128906,"{""type"":""Point"",""coordinates"":[-112.19895091828081,39.5874978333977]}"
0_0000000000000000061b,1.45481E13,48049,2020-12-31 00:00:00,318.7220153808594,1609372800000,9.27833366394043,"{""type"":""Point"",""coordinates"":[-112.1661854437401,39.745795920795025]}"
0_00000000000000000576,1.45482E13,46590,2020-12-31 00:00:00,468.17101669311523,1609372800000,8.560833930969238,"{""type"":""Point"",""coordinates"":[-112.8625944689641,37.30042044398425]}"
0_00000000000000000577,1.45482E13,46591,2020-12-31 00:00:00,426.38202476501465,1609372800000,9.49416732788086,"{""type"":""Point"",""coordinates"":[-112.52336389722217,37.31034640292922]}"
0_00000000000000000578,1.45482E13,46594,2020-12-31 00:00:00,328.0770149230957,1609372800000,11.05583381652832,"{""type"":""Point"",""coordinates"":[-111.78754979598885,37.3173026005726]}"
0_00000000000000000579,1.45482E13,46595,2020-12-31 00:00:00,256.8450140953064,1609372800000,12.505833625793457,"{""type"":""Point"",""coordinates"":[-111.5088916529569,37.317784183486374]}"
0_0000000000000000057a,1.45482E13,46599,2020-12-31 00:00:00,350.8300094604492,1609372800000,11.632500648498535,"{""type"":""Point"",""coordinates"":[-111.05760833084291,37.271485337248436]}"
0_00000000000000000594,1.45482E13,46987,2020-12-31 00:00:00,292.9960136413574,1609372800000,9.69575023651123,"{""type"":""Point"",""coordinates"":[-112.07499682719713,37.49480603620711]}"
0_00000000000000000595,1.45482E13,46988,2020-12-31 00:00:00,307.58201789855957,1609372800000,9.414167404174805,"{""type"":""Point"",""coordinates"":[-111.78997554696193,37.4931606279184]}"
0_00000000000000000596,1.45482E13,46989,2020-12-31 00:00:00,297.18401527404785,1609372800000,10.322500228881836,"{""type"":""Point"",""coordinates"":[-111.51622687418981,37.49948809231324]}"
0_00000000000000000597,1.45482E13,46995,2020-12-31 00:00:00,412.74402046203613,1609372800000,9.700834274291992,"{""type"":""Point"",""coordinates"":[-111.33882153877848,37.4525961856352]}"
0_00000000000000000581,1.45483E13,46798,2020-12-31 00:00:00,402.7510175704956,1609372800000,10.970833778381348,"{""type"":""Point"",""coordinates"":[-112.40986639810879,37.17199387454396]}"
0_00000000000000000582,1.45483E13,46803,2020-12-31 00:00:00,402.330020904541,1609372800000,11.045000076293945,"{""type"":""Point"",""coordinates"":[-112.52082220962168,37.129632414536225]}"
0_00000000000000000583,1.45483E13,46804,2020-12-31 00:00:00,421.8410186767578,1609372800000,10.068333625793457,"{""type"":""Point"",""coordinates"":[-112.23654114016136,37.13629431151007]}"
0_000000000000000005b3,1.45483E13,47424,2020-12-31 00:00:00,413.7520170211792,1609372800000,8.611666679382324,"{""type"":""Point"",""coordinates"":[-112.38647395398243,37.34246530781719]}"
0_000000000000000005b4,1.45483E13,47425,2020-12-31 00:00:00,276.0070128440857,1609372800000,11.61833381652832,"{""type"":""Point"",""coordinates"":[-111.95345510978336,37.285027627147755]}"
0_000000000000000005b5,1.45483E13,47429,2020-12-31 00:00:00,319.38701725006104,1609372800000,10.885000228881836,"{""type"":""Point"",""coordinates"":[-112.09724328235278,37.01053428449973]}"
0_000000000000000005b6,1.45483E13,47430,2020-12-31 00:00:00,210.81700825691223,1609372800000,13.910000801086426,"{""type"":""Point"",""coordinates"":[-111.79462193025961,37.01215739728319]}"
0_00000000000000000211,1.45484E13,24782,2020-12-31 00:00:00,340.9630174636841,1609372800000,10.08083438873291,"{""type"":""Point"",""coordinates"":[-112.33194360719983,39.2912307003057]}"
0_00000000000000000212,1.45484E13,24783,2020-12-31 00:00:00,408.3080234527588,1609372800000,8.782500267028809,"{""type"":""Point"",""coordinates"":[-112.04177206524791,39.29762505121634]}"
0_00000000000000000213,1.45484E13,24786,2020-12-31 00:00:00,410.01602363586426,1609372800000,8.74333381652832,"{""type"":""Point"",""coordinates"":[-112.21714405057887,39.25362710112199]}"
0_000000000000000005b2,1.45484E13,47421,2020-12-31 00:00:00,402.3450126647949,1609372800000,8.59083366394043,"{""type"":""Point"",""coordinates"":[-112.22519272798033,39.43257082639678]}"
0_00000000000000000264,1.45485E13,25158,2020-12-31 00:00:00,366.5310173034668,1609372800000,10.273333549499512,"{""type"":""Point"",""coordinates"":[-112.21112426415672,39.11539942756622]}"
0_00000000000000000265,1.45485E13,25172,2020-12-31 00:00:00,245.95501136779785,1609372800000,9.548334121704102,"{""type"":""Point"",""coordinates"":[-113.59439092014829,38.824942503146865]}"
0_0000000000000000026d,1.45485E13,25219,2020-12-31 00:00:00,448.2670192718506,1609372800000,10.301667213439941,"{""type"":""Point"",""coordinates"":[-112.3831920556071,38.801826523285804]}"
0_0000000000000000026e,1.45485E13,25220,2020-12-31 00:00:00,422.4520149230957,1609372800000,10.485000610351562,"{""type"":""Point"",""coordinates"":[-112.49425934464631,38.75423453774236]}"
0_0000000000000000026c,1.45486E13,25194,2020-12-31 00:00:00,480.87902069091797,1609372800000,7.799167156219482,"{""type"":""Point"",""coordinates"":[-112.50114419667283,38.624095673497564]}"
0_00000000000000000274,1.45487E13,25268,2020-12-31 00:00:00,379.6590185165405,1609372800000,7.174167156219482,"{""type"":""Point"",""coordinates"":[-111.91713127260198,38.25996994057422]}"
0_00000000000000000275,1.45487E13,25269,2020-12-31 00:00:00,222.48401355743408,1609372800000,7.579166889190674,"{""type"":""Point"",""coordinates"":[-112.08278241763644,38.169164806721845]}"
0_00000000000000000649,1.45488E13,48467,2020-12-31 00:00:00,342.1820182800293,1609372800000,10.27166748046875,"{""type"":""Point"",""coordinates"":[-109.5123871245902,38.07613904054487]}"
0_0000000000000000064a,1.45488E13,48468,2020-12-31 00:00:00,330.11702060699463,1609372800000,9.205833435058594,"{""type"":""Point"",""coordinates"":[-109.06477810174425,38.068696800886656]}"
0_0000000000000000064b,1.45488E13,48470,2020-12-31 00:00:00,344.82201862335205,1609372800000,9.589167594909668,"{""type"":""Point"",""coordinates"":[-109.7024696842965,37.94345402959852]}"
0_0000000000000000064c,1.45488E13,48474,2020-12-31 00:00:00,491.4660234451294,1609372800000,7.770000457763672,"{""type"":""Point"",""coordinates"":[-109.81273879424715,37.89367262543785]}"
0_00000000000000000692,1.45488E13,48891,2020-12-31 00:00:00,368.193021774292,1609372800000,9.970833778381348,"{""type"":""Point"",""coordinates"":[-109.3392580670891,38.43502532973039]}"
0_00000000000000000693,1.45488E13,48896,2020-12-31 00:00:00,315.6520118713379,1609372800000,10.101667404174805,"{""type"":""Point"",""coordinates"":[-109.34140289469583,38.24959361242285]}"
0_00000000000000000694,1.45488E13,48898,2020-12-31 00:00:00,312.57601737976074,1609372800000,10.86500072479248,"{""type"":""Point"",""coordinates"":[-109.50403522831711,38.204895583463106]}"
0_00000000000000000695,1.45488E13,48899,2020-12-31 00:00:00,330.2230110168457,1609372800000,9.39666748046875,"{""type"":""Point"",""coordinates"":[-109.23543681726174,38.204039436060846]}"
0_0000000000000000066d,1.45489E13,48681,2020-12-31 00:00:00,353.63801860809326,1609372800000,9.390833854675293,"{""type"":""Point"",""coordinates"":[-109.07215791398771,37.75383075730073]}"
0_00000000000000000671,1.45489E13,48721,2020-12-31 00:00:00,363.3380184173584,1609372800000,9.227500915527344,"{""type"":""Point"",""coordinates"":[-109.87101478591464,37.58578061589952]}"
0_00000000000000000672,1.45489E13,48723,2020-12-31 00:00:00,252.6440134048462,1609372800000,11.952500343322754,"{""type"":""Point"",""coordinates"":[-109.24754773572289,37.574128984846865]}"
0_00000000000000000673,1.45489E13,48725,2020-12-31 00:00:00,288.8890142440796,1609372800000,10.616666793823242,"{""type"":""Point"",""coordinates"":[-109.97826954355317,37.44771346998168]}"
0_00000000000000000674,1.45489E13,48726,2020-12-31 00:00:00,187.5200080871582,1609372800000,13.285833358764648,"{""type"":""Point"",""coordinates"":[-109.69112573121652,37.440462971668765]}"
0_00000000000000000251,1.45491E13,25085,2020-12-31 00:00:00,334.49601650238037,1609372800000,9.577417373657227,"{""type"":""Point"",""coordinates"":[-109.2206236835622,38.04477372373493]}"
0_00000000000000000252,1.45491E13,25088,2020-12-31 00:00:00,348.5370206832886,1609372800000,10.085000038146973,"{""type"":""Point"",""coordinates"":[-109.09234426445666,37.591965389060654]}"
0_00000000000000000253,1.45491E13,25096,2020-12-31 00:00:00,413.218017578125,1609372800000,7.033333778381348,"{""type"":""Point"",""coordinates"":[-111.41192850054972,39.61579528868287]}"
0_00000000000000000254,1.45491E13,25099,2020-12-31 00:00:00,497.69102668762207,1609372800000,7.267500400543213,"{""type"":""Point"",""coordinates"":[-111.76074613955659,39.29652365325614]}"
0_00000000000000000255,1.45491E13,25105,2020-12-31 00:00:00,521.1840267181396,1609372800000,6.154167175292969,"{""type"":""Point"",""coordinates"":[-111.4352451399582,39.453385910114264]}"
0_0000000000000000028f,1.45492E13,25417,2020-12-31 00:00:00,318.5900192260742,1609372800000,8.851667404174805,"{""type"":""Point"",""coordinates"":[-112.03371892874539,38.98625494285633]}"
0_00000000000000000290,1.45492E13,25418,2020-12-31 00:00:00,381.00902557373047,1609372800000,9.092416763305664,"{""type"":""Point"",""coordinates"":[-111.75059722555893,38.982709957518836]}"
0_00000000000000000291,1.45492E13,25423,2020-12-31 00:00:00,462.2760238647461,1609372800000,8.022500038146973,"{""type"":""Point"",""coordinates"":[-112.21403159804358,38.75469382515089]}"
0_00000000000000000292,1.45492E13,25424,2020-12-31 00:00:00,298.83201026916504,1609372800000,8.860000610351562,"{""type"":""Point"",""coordinates"":[-111.9174077368673,38.7523929290073]}"
0_00000000000000000293,1.45492E13,25428,2020-12-31 00:00:00,409.86101722717285,1609372800000,5.270750045776367,"{""type"":""Point"",""coordinates"":[-111.4576387454486,38.622294196671966]}"
